,Occupation,Arm.Hand.Steadiness,Auditory.Attention,Category.Flexibility,Control.Precision,Deductive.Reasoning,Depth.Perception,Dynamic.Flexibility,Dynamic.Strength,Explosive.Strength,Extent.Flexibility,Far.Vision,Finger.Dexterity,Flexibility.of.Closure,Fluency.of.Ideas,Glare.Sensitivity,Gross.Body.Coordination,Gross.Body.Equilibrium,Hearing.Sensitivity,Inductive.Reasoning,Information.Ordering,Manual.Dexterity,Mathematical.Reasoning,Memorization,Multilimb.Coordination,Near.Vision,Night.Vision,Number.Facility,Oral.Comprehension,Oral.Expression,Originality,Perceptual.Speed,Peripheral.Vision,Problem.Sensitivity,Rate.Control,Reaction.Time,Response.Orientation,Selective.Attention,Sound.Localization,Spatial.Orientation,Speech.Clarity,Speech.Recognition,Speed.of.Closure,Speed.of.Limb.Movement,Stamina,Static.Strength,Time.Sharing,Trunk.Strength,Visual.Color.Discrimination,Visualization,Wrist.Finger.Speed,Written.Comprehension,Written.Expression,Administration.and.Management,Biology,Building.and.Construction,Chemistry,Clerical,Communications.and.Media,Computers.and.Electronics,Customer.and.Personal.Service,Design,Economics.and.Accounting,Education.and.Training,Engineering.and.Technology,English.Language,Fine.Arts,Food.Production,Foreign.Language,Geography,History.and.Archeology,Law.and.Government,MathematicsKnowledge,Mechanical,Medicine.and.Dentistry,Personnel.and.Human.Resources,Philosophy.and.Theology,Physics,Production.and.Processing,Psychology,Public.Safety.and.Security,Sales.and.Marketing,Sociology.and.Anthropology,Telecommunications,Therapy.and.Counseling,Transportation,Active.Learning,Active.Listening,Complex.Problem.Solving,Coordination,Critical.Thinking,Equipment.Maintenance,Equipment.Selection,Installation,Instructing,Judgment.and.Decision.Making,Learning.Strategies,Management.of.Financial.Resources,Management.of.Material.Resources,Management.of.Personnel.Resources,MathematicsSkill,Monitoring,Negotiation,Operation.and.Control,Operation.Monitoring,Operations.Analysis,Persuasion,Programming,Quality.Control.Analysis,Reading.Comprehension,Repairing,Science,Service.Orientation,Social.Perceptiveness,Speaking,Systems.Analysis,Systems.Evaluation,Technology.Design,Time.Management,Troubleshooting,Writing,Job.Zone,Career.Cluster,Career.Cluster.Abbrev
773,Recreational Therapists,2.62,2.12,3,1.75,4,1.88,0.12,2.12,2.12,2,3,2.62,3,3.12,0.5,2.5,2,2.12,4,3.5,2.12,2,2.12,2.62,3.5,0.5,2.25,4,4,3.88,2.88,0.5,4,0.88,1.5,1.75,3,0.75,0.88,3.25,3.38,2.25,1.5,2.62,2.62,3,2.62,2,2.88,0.38,4,4,3.88,1.96,0.64,1.08,3.76,2.6,3.12,4.85,1.08,1.5,4.5,1.04,4.23,2.19,1.35,1.19,1.64,1.54,2.16,2.24,0.88,2.58,3.04,3.42,0.35,1.19,6,2.64,2.5,3.85,1.24,5.38,2.08,3.38,4,3.5,3.75,4,0,0.25,0,3.75,3.38,3.38,1.5,1.62,3,2,3.62,3.25,1.5,2,2.88,3.75,0.75,1.25,3.88,0,2,3.88,4,3.88,2.75,2.5,1.12,3.38,0.88,3.88,4,Health Science,HealthSci
774,Recreational Vehicle Service Technicians,3.12,3,2.88,3.5,3.25,2.62,0.5,2.12,1.25,4.25,3,3.62,3.25,2.5,1.62,2.25,2.75,3.5,3.38,3.5,3.38,1.38,2,3.25,3.62,1.25,1.38,3.88,3.75,2.62,3.12,1.25,3.5,1.88,2.25,2.62,3,1.62,1.25,2.88,3.12,2.75,1.25,2.12,3,2.5,3,3.62,3.5,2,3.25,2.75,2.34,0.21,3.1,2.18,1.4,0.85,2.2,4.19,2.09,0.66,2.16,3,2.13,0,0.02,0.49,0.37,0.11,0.84,1.66,4.98,0.22,1.19,0.16,1.24,2.46,1.02,2.04,2.19,0.18,1.48,0.16,1.83,3.12,3.25,2.88,3.12,3.5,3.12,2.62,0.88,2.62,2.88,2.38,0.62,0.75,1.75,1.75,3,2.5,2.88,2.88,1,2.62,0.5,3.12,2.88,3.88,0.88,2.88,2.75,3.12,2.38,2.5,1,2.75,3.5,2.75,2,"Transportation, Distribution & Logistics",TransLog
775,Recycling and Reclamation Workers,3.25,2.25,3,3.62,2.5,3,0.38,2,0.25,2.88,2.88,3.12,2.75,2.12,1.75,2.62,1.88,2.25,2.5,2.88,3.38,1.38,1.88,3.75,3.38,1.62,1.5,2.88,2.88,1.88,2.75,1.62,2.5,2.88,3.25,2.75,2.75,1.5,2.12,2.62,2.88,2,2.88,2.38,3,2.62,3,2.62,2.38,2.5,2.75,2.62,3.1,0.87,1.89,1.61,2.6,1.36,2.19,3.53,1.23,1.31,3.85,2.76,3.66,0.59,0.63,0.66,1.1,0.64,1.84,2.34,3.99,1.04,2.69,0.61,2.04,4.75,2.31,3.57,3.04,0.56,1.74,0.9,2.17,2.25,2.88,2.38,2.12,2.75,2.62,1.88,0,2,2.12,2,0.62,1.12,2,1.5,2.75,1.5,2.75,2.75,0.38,1.5,0,2.25,2.88,2.38,0.25,2.25,2.62,2.38,1.5,1.5,0.75,2.5,2.38,2.5,2,Manufacturing,Manu
776,Recycling Coordinators,2.12,2.38,2.88,2.5,3.25,2.12,0,0,0,0,2.75,2.38,2.62,2.88,1.12,0.12,0,1.75,3.12,3.12,1.88,2.5,2,2.75,3,1.12,2.62,3.75,3.62,2.5,2.38,0.88,3,1.25,1.88,2,2.62,0.75,1.5,3.25,3.12,2.12,1.12,0.12,1.75,2.38,2,2,2.12,1.25,3.25,3.25,4.24,1.05,2.17,1.4,3.73,2.04,3.51,5.2,1.35,2.17,4.88,2.38,3.54,0.3,0.46,1.11,1.33,0.65,2.66,4.11,2.83,0.7,3.57,0.45,0.9,3.93,2.37,3.52,2.32,1.49,1.5,1.13,2.93,3.12,3.12,2.75,3.25,3.5,0,0.38,0,2.88,3.12,3,2.38,2.38,3.5,2.75,3.5,3,2.62,2.75,1.12,3.25,0.5,2.12,3.5,0,0.25,2.88,3.12,3.38,2.75,2.88,0.88,3.62,1.12,3.12,2,"Transportation, Distribution & Logistics",TransLog
777,"Refractory Materials Repairers, Except Brickmasons",3.38,3,2.88,3.25,3,2.88,0.38,2.13,0.38,3.38,2.75,3.13,2.5,1.88,2.13,2.5,2.88,2.75,2.88,3.13,3.25,1.63,1.13,3.13,3.38,1.25,1.75,3,3,1.88,2.75,1.25,2.88,2.38,3.13,2.25,3.38,1.25,1.75,2.75,2.63,2,1.88,2.38,2.38,2.38,3,2.5,3,1.88,3,2.63,1.48,0.38,1.91,2.07,0.77,1.1,1.22,1.35,2.21,0.08,2.38,2.18,2.82,0.02,0.22,0.02,0.48,0.22,1.2,2.57,4.27,0.23,0.92,0.07,1.1,2.5,0.43,2.44,0.44,0.27,0.48,0.01,1.3,2.12,2.88,2.12,2.75,3,2.75,1.88,0.38,2.38,2.62,2.12,0.62,0.88,1.88,1.75,2.75,1.88,3,3.25,1.25,1.75,0,2.75,2.62,2.75,0,2,2.38,2.75,1.62,1.38,0.75,2.5,2.88,2.25,2,Architecture & Construction,ArchitCons
778,Refrigeration Mechanics and Installers,3.5,3,3.12,3,3.25,3,0.62,2.25,0.62,3.88,2.38,3.38,3.5,2.75,2.12,2.5,2.5,3.88,3.38,3.5,2.75,2.12,2.5,2.75,3.75,0.75,2.12,3.75,3.62,2.5,2.75,1.38,3.62,1.5,2.88,2.38,3.12,2.12,2.12,2.88,3.12,2.62,1.88,1.88,3.5,2.5,3.12,3.62,4,2.38,3.12,2.62,3.36,1.05,4.14,3.83,3.55,1.28,3.97,4.21,4.03,1.72,3.44,4.26,2.63,0.02,2.24,0.55,1.96,0.49,3.06,3.88,5.62,0.66,2.5,0.88,4.45,2.95,1.8,2.98,3.27,1.05,1.61,0.59,2.46,3.25,2.75,3.38,3.25,3.88,3.75,3.25,3.62,3.38,3,3,1.75,2.62,3.25,2.88,3.62,2.38,3.62,3.5,1.88,2.75,0.5,3.62,2.88,3.88,1.38,2.75,3,3.12,3,3.25,1.5,3.12,3.88,2.88,3,Architecture & Construction,ArchitCons
779,Refuse and Recyclable Material Collectors,2.38,2.12,2.75,3.12,2.25,2.75,0.25,2.25,0.5,2.75,2.75,2.25,2.12,2,2.25,2,1.88,2.38,2.25,2.62,2.88,0.38,2,3.25,3,1.88,0.38,3,2.88,2,2.12,1.88,2.25,2.5,2.88,2.88,2.12,2,2.12,3,2.88,2,2.12,2.25,3.25,2.25,2.75,3,2.25,1.88,2.38,2.12,1.71,1.1,0.82,2.36,1.52,1.92,1.49,5.26,2.16,0.98,3.03,2.13,2.51,0,0.39,0.88,1.37,0,2.56,1.9,3.54,0.9,1.83,0.29,1.57,2.43,1.38,3.21,2.54,0.59,1.33,0.98,4.19,2,2.62,2.12,2.75,3,2.12,1.38,0,2,2.12,0.88,0.25,0.38,2,0.5,2.25,2.12,2.88,2.88,0.5,2.12,0,2.25,2.38,2.12,0,2,2.25,2.25,2,1.88,0.12,2.75,2.12,2.38,2,"Agriculture, Food & Natural Resources",Agri
780,Registered Nurses,3.75,3,3.88,3.12,4.12,1.88,0.5,1.88,1,3,3.25,3.38,3.5,3.12,0,2.25,1.75,2.25,4.88,3.88,3.12,3,3.12,2.62,4.12,0,3,4.75,4.62,3.12,3.25,0,5,1,2,2.38,3.38,0.25,0.25,3.75,4,3,1.75,2.62,3,3.12,2.88,2.88,2.75,1.75,4.25,3.88,2.46,3.45,0,2.9,3.19,1.89,3.07,5.1,0.36,1.15,4.13,1.12,3.64,0.23,1.16,1.44,0.64,0.74,2.37,3.67,0.9,4.03,2.07,3.08,0.94,1.61,5.91,2.55,1.3,3.37,0.96,4.42,1.07,3.75,4,3.25,4.12,4,0,1.12,0,3.75,3.75,3.75,1.75,2.25,3.12,3,3.88,2.88,2.38,2.75,1.5,3.12,0.62,3.25,4.25,0,2.62,4,4.38,4,3.12,3.25,0.88,3.38,1.5,3.62,3,Health Science,HealthSci
781,Regulatory Affairs Managers,0,1.38,3.38,0,3.88,1,0,0,0,0,2.5,1.75,2.62,3.5,0,0,0,1.88,3.5,3.38,0,2.38,2.5,0,3.75,0,2.62,4.12,4.12,3.38,2.5,0,3.88,0,0,0,2.75,0,0,3.5,3.62,2.62,0,0,0,2.62,0.25,1.62,2.5,0,4.12,4,4.42,4.3,1.12,3.94,4.52,3,3.94,3.97,2.12,1.09,4.55,2.64,4.97,0.15,0.97,1.58,2.06,1.12,4.47,3.88,1.58,3.66,3.7,1.45,1.45,3.24,3.24,2.69,3.03,2.06,1.31,1.61,1.3,3.62,4,3.38,4,4.12,0,0,0,3.38,3.75,3.25,2,2,3.75,2.5,3.88,3.5,0.38,1.12,3.75,3.25,0.5,0.25,4.12,0,2.38,3,3.62,4,3.5,3.62,0.5,3.62,0,4,4,Business Management & Administration,BusinManAdmin
782,Regulatory Affairs Specialists,0.12,2.12,3.62,0.12,4.25,1,0,0,0,0,3.12,2.38,3.5,3.62,0,0,0,1.88,3.88,4.12,0.25,2.88,2.88,0,4.12,0,3,4.5,4.5,3.38,3,0,4.12,0,0,0.12,3,0.38,0,3.75,3.62,3,0,0,0,2.12,0.25,2.12,2.38,0.12,4.5,4.25,3.77,3.47,0.5,3.06,4.55,2.34,3.69,3.28,2.16,0.69,3.28,2.31,4.78,0.06,0.53,1.19,1.38,0.69,4.45,3.47,1.09,2.97,1.97,0.94,1.5,2.72,1.81,1.75,2.25,1.22,1.22,0.56,1.38,3.75,3.88,3.62,4.12,4.38,0,0,0,3.38,4.38,3.12,1.5,1.38,2.75,3.12,3.62,3.25,0,1.88,2.62,3.88,1.62,2.12,4.5,0,1.12,3,3.12,4.38,4.25,3.88,1,3.12,0,4.25,4,Government & Public Administration,Govt
783,Rehabilitation Counselors,0.5,2,3,0,4,0,0,0.5,1.88,1.5,3.12,2.38,2.75,3.5,0,1.88,1.75,1.88,4,3.12,0,1.75,2.62,0.5,3.75,0,1.5,4.38,4.12,3.5,2.38,0,4,0,1.5,1.88,2.88,0,0,3.88,3.88,2.62,0.88,1.75,2.12,2.62,2,1.88,2.12,0,3.88,4,3.35,0.37,0.07,0.34,4.16,2.52,3.35,5.26,0.16,1.26,4.68,0.51,3.92,0.21,0.11,1.23,0.28,0.42,2.93,2.47,0.37,1.79,2.69,2.71,0.1,1.6,5.29,2.79,1.93,3.58,1.26,5.51,1.54,3.38,4.12,3.75,3.75,3.88,0,0,0,3.38,3.62,3.62,1,0.38,3,1.75,4,3.38,0,1.38,3.5,3.75,0.75,0.25,4,0,2.38,4,4.88,4,3.75,3.5,0.75,3.25,0,3.62,5,Human Services,HumServ
784,Reinforcing Iron and Rebar Workers,3.12,2.88,2.62,3.25,2.75,2.88,1,3,1.5,3.62,2.88,3.12,2.5,2.12,2,3,2.75,2.38,2.38,2.75,3.38,1.62,1.62,3.38,3.12,1,1.88,2.88,2.88,2,2.5,1.75,2.75,2.62,3.12,3,2.75,1.5,2.25,1.88,2.12,1.88,2.5,3.25,4,2.25,3.75,1.88,3.12,2.38,2.12,1.62,3.89,0.13,5.97,2.18,1.17,0.93,1.05,2.3,4.05,0.98,2.46,3.66,2.84,0.11,0.13,0.86,1.04,0.24,1.35,3.63,2.51,1.14,2.1,0.3,1.68,1.94,2.46,2.61,0.87,0.77,0.51,1.04,2.29,1.88,2.38,2.38,3.25,2.88,1.12,1.75,0.12,2.12,2.75,2,0.62,0.75,1.88,2.25,2.25,1.62,2.88,2.38,1,1.62,0,2.38,2.12,0.88,0.25,1.62,2.12,2,2,1.75,0.88,2.5,1.75,1.62,2,Architecture & Construction,ArchitCons
785,Remote Sensing Scientists and Technologists,1.88,1.38,4,1.75,4.5,1.75,0,0,0,0.25,3.12,2.38,3.25,3.62,0.25,0.12,0.12,2,4.38,4,1.88,4.25,2.75,0,4,0,3.88,4.88,4.5,3.62,3.12,0,4,0,0,0,3,0,0.38,3.38,3.38,2.12,0,0.25,0,2.75,0.88,2.5,3.12,0.25,5,4.62,3.46,4,0.5,2.68,2.68,2.57,5.07,3.14,3.43,1.39,4.64,4,4.71,0.32,0.54,1.5,6.43,2.25,2.39,5.39,1.75,0.07,2.71,0.75,4.11,1.96,0.96,2.25,1.86,2.29,1.82,0.32,1.43,3.88,4.12,4,3.12,4.25,0.12,0.38,0.25,3.25,4,3.12,1.88,2.25,3,4.25,3.88,2.75,1.12,2.5,3.88,2.88,2.38,1.12,4.88,0,4.12,3,3,3.88,3.88,3.88,2.25,3.38,0.25,4.75,5,"Science, Technology, Engineering & Mathematics",SciEng
786,Remote Sensing Technicians,2.38,2.38,3.88,2.75,3.88,2.12,0,0,0,0,3.38,2.88,4.12,3.75,0.12,0,0,2.38,3.75,3.88,2,4.12,2.62,2,3.62,0.25,3.75,4.5,4.5,3.38,3,0.12,3.75,1.25,1,1.62,3.38,0,1.38,3,3,3,0,0,0,2.75,0.5,3,3.62,1,4.25,4.12,3.01,1.09,1.08,0.68,3.59,2.2,5.29,3.9,2.93,1.37,3.65,3.98,3.56,0.41,0,0.58,6.15,0.75,1.19,4.48,1.15,0.15,1.94,0.03,1.66,3.39,1.84,1.59,2.43,1.22,1.75,0.22,1.28,3.5,3.75,3.38,3.38,3.88,2,2.38,0.12,3.25,3.62,3,1.38,1.88,2.5,3.88,3.62,2.5,2.25,3.12,1.88,2.88,3.25,2.88,4.12,1.5,2.75,2.62,2.75,3.62,3.12,3,1.62,2.75,2.38,3.75,4,"Science, Technology, Engineering & Mathematics",SciEng
787,Reporters and Correspondents,0.75,1.75,3,1.38,3.88,0.5,0,0,0,0,2.38,1.88,2.38,3.88,0,0,0,0.5,4,3.5,1.12,0.88,2.75,0.62,4,0,1,4.5,4.38,3.75,2,0,3.75,0,0,0,3,0,0,4,4.25,2.75,0,0,0,2.25,1.38,0.88,2.12,0,4,4.25,3.18,1.5,0.59,0.9,3.05,5.5,3.45,2.82,0.86,2,2.45,0.91,5.55,1.64,0.82,2,4.32,3.68,3.59,3.33,1.05,1.45,1.5,3.32,0.81,0.68,2.82,2.82,1.77,3.77,2.36,0.95,2.36,3.75,4,3.38,3.5,4.12,0,0.12,0,2,3.62,2,0.38,0.5,2.5,0.75,3.12,3,0.75,0.62,1.88,3.12,0.38,1.25,4.12,0,0,2.5,4,4.5,2,1.12,0.25,3.38,0.25,4.75,4,"Arts, Audio/Video Technology & Communications",ArtAVComm
788,Reservation and Transportation Ticket Agents and Travel Clerks,2.12,2.75,3,2,3.12,0.62,0,1.5,0.5,1,2.88,2.5,2.62,2.88,0.75,1.5,1,1.88,3,3,2,2,2.38,2,3.75,0,2.38,3.62,4,2.75,2.25,0,3,1.38,1.38,0.38,2.88,0,0.25,4,3.75,2.38,0.12,1.38,2.38,2.75,2.12,2,2,0.5,3.38,3,2.32,0.69,0,1.04,2.84,2.8,4.12,5.38,0.23,1,2.7,0.92,3.72,0.8,0.02,2.14,4.09,0.82,3.09,2.81,1.07,0.79,2.14,1.83,0.5,1.81,3.44,2.92,3.16,1.28,1.4,1.68,4.12,3,4,3,3,3.62,0,0,0,2.75,3,2.62,0.38,0.5,2,2.5,2.88,2.88,0.5,1.62,1,3,0.88,1.12,3.12,0,0,3.75,3.12,3.25,2.25,2.25,0.5,3,0.5,3,2,Hospitality & Tourism,HospTour
789,Residential Advisors,1.25,2.12,3,1.12,3.25,1.25,0,0.75,0,0.75,2.88,2.12,2.38,3,0.75,0.88,0.5,2,3.12,3.12,1.12,2,2.12,1.38,3,0.62,2,4,4,3,2.25,0.62,3.62,0.62,0.88,1,2.62,0.62,0.88,3.38,3.88,2.25,0.75,0.88,1,2.38,1.88,2.12,2.25,0,3.75,3.12,2.69,1.02,1.18,1.2,3.46,2.47,2.49,5.52,0.59,1.36,3.84,0.88,3.72,0.89,0.49,0.79,2.31,0.6,2.61,2.37,0.69,1.37,2.97,3.23,1.44,1.31,5.01,3.2,1.17,3.8,0.75,4.1,1.78,3,4,3,3.38,4,0,0,0,3,3.12,3.12,2,2,3,2,3.5,3.12,1.25,2,2,3.25,0.12,1.12,3.38,0,1,3.12,3.38,3.62,3,2.88,1,3.25,1,3,3,Human Services,HumServ
790,Respiratory Therapists,3.12,2.75,3.38,3,3.75,2.12,0,1.75,0,2.38,3,3.12,3,2.75,0.62,1.88,1.5,2.75,3.88,3.75,2.88,2.88,2.75,2.88,3.88,0.62,2.88,4,4,3,3.12,1,4,2.38,2.25,2.38,2.88,0.75,0.5,3.25,3.25,2.75,2,2,2.38,2.88,2.12,2.88,2.5,2.12,3.75,3.62,1.68,3.83,0.37,3.63,2.34,2.64,4.05,5.67,0.51,0.72,4.44,1.58,3.95,0.11,0.16,1.29,0.85,0.5,2.66,3.69,2.25,4.55,1.42,2.9,3.28,1.24,4.79,2.34,1.03,2.97,1.1,3.43,0.97,3.62,3.88,3.12,3,4,2.38,2.25,0,3,3.5,3,1.38,1.62,3,2.88,3.88,2.88,3,3,2.12,2.88,0.5,3,4,2.12,3.5,3.62,3.75,4,2.88,3,1.38,3.12,2.12,3.5,3,Health Science,HealthSci
791,Respiratory Therapy Technicians,3.12,2.88,3,3.12,3.75,2.25,0,1.62,0.62,2.75,3,3.25,3,2.88,0,1.88,1.12,2.88,3.75,3.62,2.75,2.5,2.62,2.38,3.62,0,2.5,4.25,4,2.88,3.25,0,4,1.25,2,2,3,0.25,0,3.25,3.38,3.12,1.5,1.75,2.38,2.62,2.5,2.75,3.12,1.62,3.75,3.12,2.09,3.57,0.25,4.24,3.18,1.85,3.17,5.4,0.73,1.29,3.9,2.41,3.91,0.53,0.77,1.42,1.35,0.58,2.27,4.16,3.71,4.18,2.07,3.43,3.4,1.92,5.29,2.93,1.53,3.58,1.41,3.08,1.47,3.62,3.75,2.88,3.25,3.62,2.75,2.38,0,3.12,3.38,3.25,0.75,0.75,2.88,2.62,3.75,2.38,3,3,1.5,3,0.75,3,3.75,2,3,3.62,3.5,3.75,2.88,2.88,0.88,3,2.62,3,3,Health Science,HealthSci
792,Retail Loss Prevention Specialists,1.88,1.88,3,1.88,3.12,2.12,0,1.12,1.62,1.25,3.38,2.25,3.12,2.75,1.12,2,1.5,2.12,3.5,3,2,2.12,2.25,2,3.12,1.38,2.62,3.62,3.62,2.75,2.75,1.38,3.62,1.25,2.38,2.12,3.5,1.62,1.88,3,3.12,2.62,1.75,1.62,2.12,2.25,2.25,2,2.62,0.62,3.12,3.38,3.61,0.45,1.12,1.5,4.11,1.93,3.91,4.37,1.21,2.14,4.19,1.64,4.02,0.15,0.72,1.85,1.45,0.68,3.82,3.7,1.56,1.66,3.29,1.78,0.91,2.25,2.99,4.45,1.9,1.79,1.57,2.51,1.83,3,3.25,2.88,3.12,3.62,0,0.38,0,3,3,2.75,1.62,1.5,2.88,2.75,3.5,2.62,1.38,2.38,0.75,2.88,1,2.25,3.62,0,0.25,2.75,3.12,3.5,2.75,3,0.88,2.75,1.88,3.25,2,"Law, Public Safety, Corrections & Security",LawPubSaf
793,Retail Salespersons,2,2.12,2.88,2,3,1.25,0,1.12,0.75,1.62,2.38,2.25,2.12,2.88,0,1.75,1.38,1.75,2.88,2.88,1.88,2.25,2.25,1.75,3,0,2.62,3.62,3.88,2.62,2.12,0,3.25,0.38,0.5,0,2.62,0,0,3.12,3.62,2.12,0.5,1.75,1.75,2.5,2.75,2,2.12,0.38,3,3,2.92,0.32,0.77,0.73,3.2,2.21,3.05,4.06,1.31,1.69,2.29,1.42,3.23,0.8,0.52,1.28,0.98,0.59,1.48,2.98,1.67,1.05,1.66,0.86,0.76,2.01,2.92,1.9,4.51,1.59,1.09,1.16,1.23,2.88,3.75,2.5,3,3.12,0,0,0,2.75,2.75,2.25,1.25,1,2.12,2,3.12,3.75,1.38,1.5,0.62,4,0.25,1.25,3.12,0,0,3.88,3.12,3.12,1.88,2,1,2.88,0.88,3,2,Marketing,Marketing
794,Riggers,2.88,2.75,2.88,3.13,2.88,3.63,0.13,2.25,0.5,3.38,3.5,2.75,2.5,2.13,2.38,2.88,3,2.38,2.88,3.25,3.25,0.38,1.88,3.38,2.88,1.5,0.5,3.38,3.5,2.25,2.88,2.25,3.38,2.13,3.13,2.88,3.25,1.38,2.38,2.63,2.5,1.88,2.25,2.75,2.88,2.5,3.13,2.25,3.75,2,2.5,2.25,2.88,0.32,4.03,1.65,2.43,2.27,1.24,3.88,4.04,2.57,4.39,3.15,2.63,0.1,1.22,0.5,1.09,0.23,1.22,4.03,5.18,1.06,2.54,0.58,2.17,3.82,1.22,2.91,2.99,0.71,2.4,1.11,3.31,2.38,2.62,2.62,3,3,2.25,2.5,1.62,2.12,3.12,0.5,0.12,0.12,2.75,0.38,3,1.88,3,2.75,2.12,2.25,0,2.75,2.25,2.38,1.38,1.75,2,2.5,2,1.88,0.12,2.88,2.62,2.25,2,Architecture & Construction,ArchitCons
795,Risk Management Specialists,0,1.88,3.62,0,4.62,0.62,0,0,0,0,3,1.25,3.5,3.75,0,0,0,1.88,4.25,3.62,0,4,2.25,0,3.88,0,4,4.5,4.88,3.38,2.88,0,4.75,0,0,0,2.25,0,0,3.75,3.75,2.88,0,0,0,2.25,0.62,1.88,2.62,0.25,4.25,3.88,4.81,1,2.52,1.48,3.9,2.5,3.71,4.9,1.71,4.19,3.76,2.1,4.52,0.67,1.48,1.62,2.65,1,3.86,4.38,2,1.71,4.29,1.62,1.67,2.57,2.9,3.9,2.62,2.15,1.33,1.81,2.52,3.75,4,3.88,3,4.25,0,0,0,3,3.88,3,2.88,2.5,3,4,3.5,3.12,0.75,1.75,2,3.38,2.25,1.62,4.5,0,0,3,3.12,3.88,3.88,3.88,1.38,3.12,0.88,3.88,4,Finance,Fin
796,Robotics Engineers,3,2.62,3.88,3.25,4.75,2.62,0,0,0.5,1.88,3.5,3.62,3.88,4.12,0.75,0,0,2.88,4.5,4.5,3,4.75,3,2.38,3.88,0.38,4,4.88,4.62,4.62,3.75,0.38,4.5,2.62,3,1.38,3.12,0.5,1,3,3.38,3.38,0.5,0,0.62,2.88,2,3.5,4.62,1.88,5,4.62,3.5,1.53,2.43,3.4,3.23,2.2,5.69,3.4,5.8,2.3,4.27,6.13,4.27,0.3,1.37,2.1,0.73,0.53,2.2,5.5,5.63,1.07,2.3,0.9,5.07,3.93,1.33,3.2,2.73,0.83,3.4,0.6,1.7,4.5,4,4.12,3.75,4.62,3.75,4.12,3.25,3.5,4.12,3.75,2.62,2.25,3.62,4.62,3.88,2.88,3.38,3.75,4,3.38,3.88,4.25,4.88,3.75,3.75,2.25,3.5,3.88,4,4.12,4.12,4,3.88,3.88,4,"Science, Technology, Engineering & Mathematics",SciEng
797,Robotics Technicians,3.88,2.62,3.62,4,4.12,2.88,0.25,1.88,0.88,2.38,3,4.12,3.38,3.12,1.88,1.88,1.75,2.5,4,4,3.88,3,3.12,2.88,4.12,1.38,3,4,4,3.25,3.25,1.62,4,2.75,3,2.62,3.25,1.88,1.75,3.12,3.38,3.12,1.62,1.88,2.62,2.75,2.38,3.62,3.88,2.5,4.25,3.88,2.68,0.95,2.5,2.64,2.77,1.18,5.27,2.77,4.18,1.36,3.41,4.95,3.55,0.23,0.32,0.95,0.77,0.19,1.64,4.86,5,0,1.86,0.5,4.05,3.73,0.91,2.73,1.18,0.59,2.86,0.45,1.64,3.62,3.62,3.62,3.12,4,3.88,3.25,3.25,3.12,3.12,3.12,1,1.25,2.38,3.75,3.25,2.25,3.62,3.88,2.25,2.62,2.75,3.88,4,4,3.25,3,2.75,3.25,3.12,3.25,2.88,2.88,4,3.12,3,Manufacturing,Manu
798,"Rock Splitters, Quarry",3.38,2.75,2.88,3.25,2.75,2.88,0.25,3.25,0.5,3.62,2.25,3.12,2.5,1.5,1.38,3.25,3,2.38,2.75,2.88,3.38,1.25,1.5,3.38,3.25,1.38,1.5,3,2.88,1.88,2.5,1.25,2.75,2.88,3.38,2.75,2.75,0.75,1.88,2.5,2.62,1.38,2.75,3.38,3.75,2.62,3.62,2.88,2.88,1.75,2.5,2.12,2.42,1.55,1.91,2.13,1.79,0.77,1.54,2.95,1.7,2.01,3.16,2.43,2.68,0.29,1.45,1.65,1.28,0.87,1.67,2.45,2.94,2.1,2.14,1.64,2.64,3.39,1.35,2.22,1.79,1.84,1.87,1.9,2.48,2.12,2.62,2.5,2.75,2.62,2,1.75,0,1.75,2.25,2,0.62,0.62,1.62,1.5,2.5,1.62,3,2.88,0.25,2,0,2.5,2.38,1.75,0.12,2.12,2.25,2.62,0.75,0.75,0,2.38,2.25,2.12,1,Architecture & Construction,ArchitCons
799,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",3.12,3.38,3,3.88,3,3,0.25,2.62,0.88,2.75,3,3.12,3,2.25,1.5,2.5,2,2.88,2.88,3,3,2.12,2.12,3.75,3.38,1.38,2,3.38,3.38,2.12,3.38,1.88,3.12,3.62,3.88,3.25,3.38,1.62,1.75,2.75,2.5,2.38,2.75,2.75,3.38,2.5,3.12,2.62,3,2.88,3,2.38,2.85,0.3,1.23,2.24,0.93,1.48,2.35,3.5,1.35,0.77,3.45,2.46,3.78,0,0.76,0.62,0.29,0.12,0.71,2.51,4.53,0.46,1.64,0.45,1.54,4.31,0.4,2.62,0.82,0.58,1.63,0.53,1.85,3,2.75,2.75,3,3,3,2.38,2,2.88,2.88,2.75,0.88,1.25,2.62,2.5,3,1.62,3.88,4,1.12,1.75,0.62,3.88,2.88,2.88,0.38,2,2.5,2.75,2.75,2.38,0.88,3,3,2.62,2,Manufacturing,Manu
